start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T17:35:15.504653+02:00,2026-04-08T17:36:13.288719+02:00,57,0.95,com.hammerandchisel.discord,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:36:13.308767+02:00,2026-04-08T17:36:25.861854+02:00,12,0.2,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:36:26.201265+02:00,2026-04-08T17:36:59.508897+02:00,33,0.55,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:37:48.192938+02:00,2026-04-08T17:37:52.561561+02:00,4,0.07,com.toyopagroup.picaboo,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:37:52.561561+02:00,2026-04-08T17:37:55.503318+02:00,2,0.03,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:37:56.051849+02:00,2026-04-08T17:40:07.913028+02:00,131,2.18,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:43:29.933080+02:00,2026-04-08T17:46:10.990322+02:00,161,2.68,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:50:22.186834+02:00,2026-04-08T17:50:31.509884+02:00,9,0.15,com.apple.Preferences,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:50:40.022851+02:00,2026-04-08T17:51:06.082674+02:00,26,0.43,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:51:08.178983+02:00,2026-04-08T17:53:28.261238+02:00,140,2.33,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:53:28.854102+02:00,2026-04-08T17:56:28.066384+02:00,179,2.98,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:56:29.065064+02:00,2026-04-08T17:56:31.000154+02:00,1,0.02,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:56:31.018935+02:00,2026-04-08T17:56:53.112355+02:00,22,0.37,com.apple.mobilephone,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:56:53.112355+02:00,2026-04-08T17:56:55.535774+02:00,2,0.03,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:56:55.535774+02:00,2026-04-08T17:56:56.711832+02:00,1,0.02,com.apple.mobilephone,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:56:56.711832+02:00,2026-04-08T17:57:03.522163+02:00,6,0.1,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:57:03.522163+02:00,2026-04-08T17:57:20.203742+02:00,16,0.27,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:57:20.203742+02:00,2026-04-08T17:59:40.172185+02:00,139,2.32,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:59:48.396947+02:00,2026-04-08T17:59:48.398130+02:00,0,0.0,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:59:48.441749+02:00,2026-04-08T17:59:53.222532+02:00,4,0.07,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T17:59:59.491084+02:00,2026-04-08T18:01:46.078970+02:00,106,1.77,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T18:01:46.078970+02:00,2026-04-08T18:01:50.764399+02:00,4,0.07,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T18:01:50.764399+02:00,2026-04-08T18:07:16.496955+02:00,325,5.42,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T18:08:36.641966+02:00,2026-04-08T18:10:53.276462+02:00,136,2.27,com.google.chrome.ios,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T18:15:07.286141+02:00,2026-04-08T18:17:03.845146+02:00,116,1.93,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T18:20:15.856180+02:00,2026-04-08T18:20:16.684377+02:00,0,0.0,com.apple.camera,E8F47AE0-422F-4154-8235-821961ECC767
